kingdom	family	EN0.2A	EN0.2B	EN0.2C	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C
Fungi	Malasseziaceae	-0.91220453549921	0	-2.52164244793331	-1.82849526737336	-0.729882978705255	0.1864077531689	0.845653382053164	-0.442200906253474	0	1.42960127064812	1.00471807668285	0.250946274306471	1.44864946561881	0.42279653123313	0.845653382053164
Fungi	Polyporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Sporidiobolaceae	-0.526982779159134	0	0	0	0	0	-0.526982779159134	0	-0.526982779159134	0	0.859311581960757	1.08245513327497	0	0.166164401400812	-0.526982779159134
Fungi	Cryptococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Tremellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ustilaginaceae	-0.483900126363486	0	0	0	0	0	-0.483900126363486	-0.483900126363486	-0.483900126363486	0	0.209247054196459	1.30785934286457	0	0.902394234756404	-0.483900126363486
Fungi	Wallemiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Blastocladiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Physodermataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Chytridiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Chytriomycetaceae	-0.202732554054082	0	0	0	0	0	0	-0.895879734614027	0	0	0	0	0.895879734614027	0.202732554054082	0
Fungi	Lobulomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Monoblepharidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Telasphaerulaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Collimycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Halomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Rhizophydiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Spizellomycetaceae	0	-1.242453324894	-0.14384103622589	0	0	0	0	0	0	0	0	0.549306144334055	0	0.836988216785836	0
Fungi	Mortierellaceae	0	0	0	0	0	0	0	-0.677012550275553	-0.677012550275553	0	0.932425362158548	0.421599738392557	0	0	0
Fungi	Mucoraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Umbelopsidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Olpidiaceae	-0.780355204520703	-0.780355204520703	0	0	0	0	0	0	-0.780355204520703	0.318257084147406	0	0	0	1.41686937281552	0.605939156599187
Fungi	Ancylistaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Entomophthoraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Arenicolidae	0	-1.02479279588065	0	0	0	0	0	0.073819492787458	0	0	-0.331645615320706	0	0	1.61426453373461	-0.331645615320706
Metazoa	Capitellidae	0	0.346573590279973	0	0	0	0	0	0	-0.346573590279973	0	0	0	0	0	0
Metazoa	Naididae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Glossiphoniidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Lumbriculidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Acoetidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Nereididae	0	0	-0.539686014192039	0	0	-0.539686014192039	-1.23283319475198	0	0.153461166367906	1.98604263011622	0	1.25207345503602	-0.539686014192039	0	-0.539686014192039
Metazoa	Fabriciidae	0	0	0	0	0	0	0	0	-0.202732554054082	0	0.202732554054082	0	0	0	0
