superkingdom	kingdom	phylum	class	order	family	genus	species	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C	EN0.2A	EN0.2B	EN0.2C
Bacteria	NA	Proteobacteria	NA	Gammaproteobacteria	NA	NA	uncultured gamma proteobacterium HF0010_05D02	13	17	6	17	41	3	3	4	2	1	0	0	12	15	4
Bacteria	NA	Proteobacteria	NA	Gammaproteobacteria	NA	NA	uncultured gamma proteobacterium HF0010_16J05	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Microbacteriaceae	Curtobacterium	NA	0	0	2	0	0	4	0	3	1	0	0	8	0	0	1
Bacteria	NA	Proteobacteria	NA	Gammaproteobacteria	NA	NA	uncultured Gammaproteobacteria bacterium	3	5	6	1	16	0	9	22	17	7	3	26	8	13	11
Bacteria	NA	Proteobacteria	NA	Gammaproteobacteria	NA	NA	uncultured marine gamma proteobacterium EBAC20E09	7	10	10	20	4	3	0	0	0	0	0	0	7	7	4
Bacteria	NA	Proteobacteria	NA	Gammaproteobacteria	NA	NA	uncultured marine gamma proteobacterium EBAC31A08	839	842	958	878	782	349	21	16	11	6	14	10	642	524	601
Bacteria	NA	Proteobacteria	NA	Gammaproteobacteria	NA	NA	NA	337	351	948	486	449	3569	712	916	4447	834	717	5010	320	488	1179
Bacteria	NA	Proteobacteria	NA	Zetaproteobacteria	NA	NA	uncultured Zetaproteobacteria bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	NA	Proteobacteria	NA	NA	NA	NA	uncultured marine proteobacterium	385	516	442	1052	1140	480	30	27	20	36	51	7	449	561	363
Bacteria	NA	Proteobacteria	NA	NA	NA	NA	uncultured marine proteobacterium ANT32C12	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Proteobacteria	NA	NA	NA	NA	uncultured marine proteobacterium ANT8C10	22	30	19	12	4	2	0	0	0	0	0	0	14	13	11
Bacteria	NA	Proteobacteria	NA	NA	NA	NA	uncultured proteobacterium	6	1	0	7	2	4	0	0	0	2	0	0	3	10	0
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Microbacteriaceae	Frondihabitans	Frondihabitans sp. 762G35	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	NA	Proteobacteria	NA	NA	NA	NA	uncultured proteobacterium DelRiverFos06H03	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Proteobacteria	NA	NA	NA	NA	uncultured proteobacterium EBAC46D07	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	NA	Proteobacteria	NA	NA	NA	NA	uncultured proteobacterium eBACred25D05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	NA	Proteobacteria	NA	NA	NA	NA	NA	6613	6507	4361	3485	2394	4350	770	891	3841	740	977	4509	8057	8615	7271
Bacteria	NA	Spirochaetes	Brachyspirales	Spirochaetia	Brachyspiraceae	Brachyspira	Brachyspira pilosicoli	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Bacteria	NA	Spirochaetes	Brachyspirales	Spirochaetia	Brachyspiraceae	Brachyspira	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	NA	Spirochaetes	Leptospirales	Spirochaetia	Leptospiraceae	Leptospira	Leptospira biflexa	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
Bacteria	NA	Spirochaetes	Leptospirales	Spirochaetia	Leptospiraceae	Leptospira	Leptospira tipperaryensis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Microbacteriaceae	Frondihabitans	Frondihabitans sp. PAMC 28766	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Spirochaetes	Leptospirales	Spirochaetia	Leptospiraceae	Leptospira	Leptospira weilii	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Bacteria	NA	Spirochaetes	Leptospirales	Spirochaetia	Leptospiraceae	Leptospira	NA	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Bacteria	NA	Spirochaetes	Leptospirales	Spirochaetia	Leptospiraceae	Turneriella	Turneriella parva	0	0	0	0	1	2	12	10	0	3	0	3	0	1	1
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	Spirochaetaceae	Salinispira	Salinispira pacifica	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	Spirochaetaceae	Sphaerochaeta	Sphaerochaeta coccoides	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	Spirochaetaceae	Sphaerochaeta	Sphaerochaeta globosa	0	0	12	0	0	11	0	0	1	0	0	10	0	0	27
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	Spirochaetaceae	Sphaerochaeta	Sphaerochaeta pleomorpha	0	0	2	0	1	6	2	0	3	6	0	8	2	0	2
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	Spirochaetaceae	Spirochaeta	Spirochaeta perfilievii	0	3	4	4	6	7	3	0	2	5	2	4	0	1	10
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Microbacteriaceae	Gryllotalpicola	Gryllotalpicola sp. 2DFW10M-5	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	Spirochaetaceae	Treponema	Treponema brennaborense	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	Spirochaetaceae	Treponema	Treponema caldarium	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	Spirochaetaceae	Treponema	Treponema phagedenis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	Spirochaetaceae	Treponema	Treponema putidum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	Spirochaetaceae	Treponema	Treponema succinifaciens	0	0	4	0	0	37	0	0	8	0	2	3	0	0	20
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	Spirochaetaceae	Treponema	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Spirochaetes	Spirochaetales	Spirochaetia	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Bacteria	NA	Synergistetes	Synergistales	Synergistia	Synergistaceae	Cloacibacillus	Cloacibacillus porcorum	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Bacteria	NA	Synergistetes	Synergistales	Synergistia	Synergistaceae	Fretibacterium	Fretibacterium fastidiosum	0	0	0	0	2	0	0	0	4	0	0	3	0	0	0
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Microbacteriaceae	Humibacter	Humibacter sp. BT305	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Synergistetes	Synergistales	Synergistia	Synergistaceae	Thermanaerovibrio	Thermanaerovibrio acidaminovorans	0	0	1	0	0	2	0	0	4	0	0	1	0	0	0
Bacteria	NA	Tenericutes	Acholeplasmatales	Mollicutes	Acholeplasmataceae	Acholeplasma	Acholeplasma axanthum	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Tenericutes	Acholeplasmatales	Mollicutes	Acholeplasmataceae	Acholeplasma	Acholeplasma brassicae	0	0	3	0	0	7	0	0	5	0	0	6	0	0	6
Bacteria	NA	Tenericutes	Acholeplasmatales	Mollicutes	Acholeplasmataceae	Acholeplasma	Acholeplasma hippikon	2	0	1	4	2	5	0	8	0	0	0	0	0	0	1
Bacteria	NA	Tenericutes	Acholeplasmatales	Mollicutes	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii	0	0	28	0	0	47	0	0	18	0	0	6	0	0	32
Bacteria	NA	Tenericutes	Acholeplasmatales	Mollicutes	Acholeplasmataceae	Acholeplasma	Acholeplasma morum	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Tenericutes	Acholeplasmatales	Mollicutes	Acholeplasmataceae	Acholeplasma	Acholeplasma oculi	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
Bacteria	NA	Tenericutes	Acholeplasmatales	Mollicutes	Acholeplasmataceae	Acholeplasma	Acholeplasma palmae	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Bacteria	NA	Tenericutes	Acholeplasmatales	Mollicutes	Acholeplasmataceae	Acholeplasma	NA	0	0	1	0	0	1	0	0	0	0	0	0	3	0	4
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Microbacteriaceae	Humibacter	Humibacter sp. WJ7-1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Bacteria	NA	Tenericutes	Acholeplasmatales	Mollicutes	Acholeplasmataceae	Candidatus Phytoplasma	Candidatus Phytoplasma ziziphi	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Tenericutes	Acholeplasmatales	Mollicutes	Acholeplasmataceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria	NA	Tenericutes	Entomoplasmatales	Mollicutes	Spiroplasmataceae	Spiroplasma	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Bacteria	NA	Tenericutes	Entomoplasmatales	Mollicutes	NA	NA	NA	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Bacteria	NA	Tenericutes	Mycoplasmatales	Mollicutes	Mycoplasmataceae	Candidatus Hepatoplasma	Candidatus Hepatoplasma crinochetorum	2	0	3	4	1	0	0	0	6	0	2	0	0	0	0
Bacteria	NA	Tenericutes	Mycoplasmatales	Mollicutes	Mycoplasmataceae	Mycoplasma	Mycoplasma arginini	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0
Bacteria	NA	Tenericutes	Mycoplasmatales	Mollicutes	Mycoplasmataceae	Mycoplasma	Mycoplasma bovirhinis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Microbacteriaceae	Leifsonia	Leifsonia sp. 21MFCrub1.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
