	sample:OP0.2A	sample:OP0.2B	sample:OP0.2C	sample:OP1.2A	sample:OP1.2B	sample:OP1.2C	sample:OP5.0A	sample:OP5.0B	sample:OP5.0C	sample:OP8.0A	sample:OP8.0B	sample:OP8.0C	sample:EN0.2A	sample:EN0.2B	sample:EN0.2C	count	superkingdom_name	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	id
29	0	0	2	0	1	2	0	0	3	1	0	3	0	1	0	13	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanosarcina	Methanosarcina lacustris	tax29
30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei	tax30
31	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanosarcina	Methanosarcina sp. Kolksee	tax31
32	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	5	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanosarcina	Methanosarcina sp. MTP4	tax32
33	0	0	0	1	1	7	0	2	10	7	1	12	0	0	3	44	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	Methanosarcina	NA	tax33
34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanosarcinaceae	NA	NA	tax34
35	1	5	27	8	12	112	11	7	115	19	9	75	2	5	21	429	Archaea	NA	Euryarchaeota	Methanosarcinales	Methanomicrobia	Methanotrichaceae	Methanothrix	Methanothrix soehngenii	tax35
36	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	NA	Candidatus Poseidoniia	NA	NA	uncultured marine group III euryarchaeote AD1000-40-D7	tax36
37	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	Archaea	NA	Euryarchaeota	NA	Candidatus Poseidoniia	NA	NA	NA	tax37
38	0	9	1	0	1	0	0	0	0	2	0	1	3	2	3	22	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	planktonic euryarchaeote	tax38
39	57	76	60	60	43	20	8	9	7	10	5	6	98	53	52	564	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured euryarchaeote	tax39
40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote AD1000_02_G03	tax40
41	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote AD1000_12_B08	tax41
42	4	0	2	0	5	1	0	0	0	0	0	0	4	4	6	26	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote AD1000_29_E08	tax42
43	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote AD1000_32_G05	tax43
