taxids	mrca
1249824;1249869	185979
1249862;1249868	185979
1252656;1289762	7408
1259739;1260628	1259738
1260140;1260142;1260159;1260166	2648731
1262111;2057556	47455
1263553;1263556;1263561;1263562;1263565;1263572;1263574;1263582;1263584;1263592;1263594;1263599;1263606;1263614	2645622
1263553;1263556;1263561;1263562;1263565;1263574;1263582;1263584;1263594;1263599;1263606	2645622
1265344;1265346	9
126844;1130067	795339
126844;228097	4782
126940;231413	126939
1271531;1755298	2628318
1274991;1274992	2641955
1276152;1276153	2633855
1277094;1277098	2647285
1277943;1817594	48601
1278369;1278528	196896
1278370;1278530	196896
1280;158878	1280
1280;158878;418127	1280
1280;93061	1280
1280948;1494640;1494642;1494643	85
1281429;1281433	163471
1285;1141106	1285
1289135;1391669	29521
1292105;1292126	196198
1292107;1292137	196198
129347;129348	4783
1295009;1406512	1406512
12968;227992	12967
1297617;1898207	186802
1299;32630;243230	1299
129963;129967	2638140
13001;1300151	1028423
1302942;1302946	2633351
130316;150586	96783
13040;423612	13039
1306;1313	1301
1306996;1307010;1307013	2631580
1307441;1307444	1583098
1307889;2057747	2636038
1308872;1308873;1308874;1308875;1308877;1308878;1308879;1308880;1308881;1308882	2613769
1308872;1308873;1308874;1308875;1308878;1308879;1308880;1308881;1308882	2613769
1308876;1308887	2613769
1311;1320	1301
1311;1346	1301
1311;888745	1311
1312089;1312103;1312105	2630416
13136;77133	48479
1316250;1332847	163471
1316651;1316652	2302909
1323464;1323466;1323467;1323469;1323472	1244970
1323978;1324032	3179
1323981;1324020	3179
1324026;1324042;2583858	2041618
1325088;1325089	2631580
132615;1527297	4783
132658;132659;132661	48479
1326;82348	1301
1327006;1327008;1327009;1327010;1327011;1327012;1327013;1327014;1327015;1327016;1327026;1327027;1385683;1385685	1166
1327972;1747283	1918522
1328029;1747284;1747285	1918522
1328;1000570	1328
1328;1671923	1328
1335;197614	1301
1342444;1342445;1342446;1342448	325217
134455;360399	4783
1346525;1346526	693231
1351;1261557	1351
135297;135298;135299	2633351
135487;1042912	1817
135528;135529	2633481
135910;1286782	135866
13626;476178	13625
136462;200886	136461
1366293;1366296	996372
1366310;1367201	35127
1366334;1366455	2628725
1366486;1367597;1367598	86539
13760;104009;214229	13759
137716;137717;137718	2634919
